trajectory,family,take,mode,search_status,source_frames,left_accept_frames,right_accept_frames,both_accept_frames,left_accept_coverage,right_accept_coverage,both_accept_coverage,collision_frames,edge_collision_frames,topology_invalid_frames,longest_hold_frames,maximum_position_error_mm,maximum_orientation_error_deg,maximum_velocity_rad_s,maximum_acceleration_rad_s2,limits_passed
8-11/WaterSoluble_AluminumPouch/155911,8-11/WaterSoluble_AluminumPouch,155911,inverted,complete,5918,5699,0,0,0.9629942548158161,0.0,0.0,0,0,0,5918,679.2008197678638,179.9930584033748,11.5350817908119,554.5168455058466,False
8-11/WaterSoluble_AluminumPouch/160040,8-11/WaterSoluble_AluminumPouch,160040,baseline,complete,5053,0,306,0,0.0,0.060558084306352664,0.0,0,0,0,5053,604.9213095884375,179.99199173566143,6.392435748033552,384.0023242984763,False
8-11/WaterSoluble_AluminumPouch/160040,8-11/WaterSoluble_AluminumPouch,160040,upright_table,infeasible,5053,0,0,0,0.0,0.0,0.0,0,0,0,5053,549.972910395636,179.98917647790827,0.0,0.0,True
8-11/WaterSoluble_AluminumPouch/160040,8-11/WaterSoluble_AluminumPouch,160040,horizontal_wall,complete,5053,0,0,0,0.0,0.0,0.0,0,0,0,5053,911.8955225713967,179.99051640218303,0.0,0.0,True
8-11/WaterSoluble_AluminumPouch/160040,8-11/WaterSoluble_AluminumPouch,160040,inverted,complete,5053,691,0,0,0.13675044528003166,0.0,0.0,0,0,0,5053,645.1671014023752,179.93857161245157,5.83694049451071,166.83775298252385,False
8-11/WaterSoluble_AluminumPouch/160121,8-11/WaterSoluble_AluminumPouch,160121,baseline,complete,2693,0,40,0,0.0,0.014853323431117713,0.0,0,0,0,2693,578.5364650702671,179.81558745204893,6.52645345565986,311.4145054076473,False
8-11/WaterSoluble_AluminumPouch/160121,8-11/WaterSoluble_AluminumPouch,160121,upright_table,infeasible,2693,0,0,0,0.0,0.0,0.0,0,0,0,2693,544.9917005155058,179.73450176002908,0.0,0.0,True
8-11/WaterSoluble_AluminumPouch/160121,8-11/WaterSoluble_AluminumPouch,160121,horizontal_wall,complete,2693,0,0,0,0.0,0.0,0.0,0,0,0,2693,883.4382867779101,179.9894307366963,0.0,0.0,True
8-11/WaterSoluble_AluminumPouch/160121,8-11/WaterSoluble_AluminumPouch,160121,inverted,complete,2693,834,0,0,0.3096917935388043,0.0,0.0,0,0,0,2693,631.9083618436881,179.9631258832089,5.512260799456722,150.1011977710909,False
8-11/WaterSoluble_AluminumPouch/160201,8-11/WaterSoluble_AluminumPouch,160201,baseline,complete,3180,432,21,13,0.13584905660377358,0.006603773584905661,0.004088050314465409,0,0,0,3167,517.7316334332658,133.57687725224142,12.140891430125754,636.9209657705775,False
8-11/WaterSoluble_AluminumPouch/160201,8-11/WaterSoluble_AluminumPouch,160201,upright_table,infeasible,3180,536,0,0,0.16855345911949685,0.0,0.0,0,0,0,3180,308.17312475018286,105.340843998209,13.12420545566441,627.9596100629976,False
8-11/WaterSoluble_AluminumPouch/160201,8-11/WaterSoluble_AluminumPouch,160201,horizontal_wall,complete,3180,0,0,0,0.0,0.0,0.0,0,0,0,3180,964.8125749589618,179.9840507773765,0.0,0.0,True
8-11/WaterSoluble_AluminumPouch/160201,8-11/WaterSoluble_AluminumPouch,160201,inverted,complete,3180,1538,0,0,0.48364779874213837,0.0,0.0,0,0,0,3180,714.8874602111151,179.89056838652607,11.972096351618031,539.1653312895236,False
8-12/Bag_BoxPacking/110914,8-12/Bag_BoxPacking,110914,baseline,complete,11030,0,119,0,0.0,0.010788757932910245,0.0,0,0,0,11030,832.0992215593272,179.9942384004596,17.60287507343727,1188.3595138348842,False
8-12/Bag_BoxPacking/110914,8-12/Bag_BoxPacking,110914,upright_table,infeasible,11030,0,0,0,0.0,0.0,0.0,0,0,0,11030,576.2652519815322,148.85324851142877,0.0,0.0,True
8-12/Bag_BoxPacking/110914,8-12/Bag_BoxPacking,110914,horizontal_wall,complete,11030,0,0,0,0.0,0.0,0.0,0,0,0,11030,982.9020369510482,179.9971695754783,0.0,0.0,True
8-12/Bag_BoxPacking/110914,8-12/Bag_BoxPacking,110914,inverted,complete,11030,0,0,0,0.0,0.0,0.0,0,0,0,11030,630.8724217986806,179.99852206138897,0.0,0.0,True
8-12/Fold_Box/111132,8-12/Fold_Box,111132,baseline,complete,9476,879,237,179,0.0927606585056986,0.025010552975939213,0.018889826931194596,0,0,0,9237,446.18170855031667,179.9685369242306,12.584356329978355,701.9436874678497,False
8-12/Fold_Box/111132,8-12/Fold_Box,111132,upright_table,complete,9476,0,0,0,0.0,0.0,0.0,0,0,0,9476,604.1152258485731,179.99400653553107,0.0,0.0,True
