trajectory,family,take,mode,frames,valid_pair_frames,conditioned_pair_coverage,raw_pair_coverage,coverage_delta_percentage_points,solver_target_max_position_deviation_mm,solver_target_max_orientation_deviation_deg,smoothing_max_position_deviation_mm,smoothing_max_orientation_deviation_deg,wrist_adaptation_max_position_mm,wrist_adaptation_max_orientation_deg,stored_solver_target_matches_current_contract,solver_target_exceeds_strict_position_tolerance,solver_target_exceeds_strict_orientation_tolerance,raw_max_position_error_mm,raw_max_orientation_error_deg,source_interval_median_ms,source_tcp_linear_speed_p95_m_s,source_tcp_linear_speed_max_m_s,source_tcp_angular_speed_p95_rad_s,source_tcp_angular_speed_max_rad_s,maximum_joint_velocity_rad_s,maximum_joint_acceleration_rad_s2,study_dynamics_pass,official_ceiling_dynamics_pass,collision_frames,edge_collision_frames,topology_invalid_frames
8-11/Screw_Cap/162818,8-11/Screw_Cap,162818,inverted,1907,1907,0.03513371788148925,0.007865757734661772,2.726796014682748,5.000000000000095,1.0000000000026408,5.000000000000095,1.0000000000026408,0.0,2.9575586669421963e-06,True,True,True,1994.2012027989488,174.9300891630557,12.381292000000599,1.1885420292718067,3.5491253325472036,3.937640051620399,29.644051677843155,4.1917343383994385,226.6614153770564,False,False,0,0,0
8-11/Screw_Cap/162854,8-11/Screw_Cap,162854,baseline,2524,2524,0.1576862123613312,0.01901743264659271,13.866877971473851,5.000000000000089,1.0000000000011828,5.000000000000089,1.0000000000011828,0.0,2.9575586669421963e-06,True,True,True,1561.5239799512187,179.06054309204444,12.38320899999934,1.14630808379382,2.932394249132078,3.2745737031696924,19.480117346008075,13.290796466382773,535.2950097196203,False,False,0,0,0
8-11/Screw_Cap/162854,8-11/Screw_Cap,162854,upright_table,2524,2524,0.050316957210776544,0.008716323296354992,4.160063391442155,5.000000000000089,1.0000000000011828,5.000000000000089,1.0000000000011828,0.0,2.9575586669421963e-06,True,True,True,1866.7759790638365,179.91194746513847,12.38320899999934,1.14630808379382,2.932394249132078,3.2745737031696924,19.480117346008075,14.718802173535074,764.5192592596624,False,False,0,0,0
8-11/Screw_Cap/162854,8-11/Screw_Cap,162854,horizontal_wall,2524,2524,0.0,0.0,0.0,5.000000000000089,1.0000000000011828,5.000000000000089,1.0000000000011828,0.0,2.9575586669421963e-06,True,True,True,1262.6069065285596,179.99535278664365,12.38320899999934,1.14630808379382,2.932394249132078,3.2745737031696924,19.480117346008075,0.0,0.0,True,True,0,0,0
8-11/Screw_Cap/162854,8-11/Screw_Cap,162854,inverted,2524,2524,0.02733755942947702,0.00792393026941363,1.941362916006339,5.000000000000089,1.0000000000011828,5.000000000000089,1.0000000000011828,0.0,2.9575586669421963e-06,True,True,True,2056.179408087596,179.86573310931536,12.38320899999934,1.14630808379382,2.932394249132078,3.2745737031696924,19.480117346008075,8.429861993046984,377.1018948478593,False,False,0,0,0
8-11/Seal_Bag/161504,8-11/Seal_Bag,161504,baseline,2439,2439,1.0,0.3165231652316523,68.34768347683477,5.000000000000099,1.0000000000011828,5.000000000000099,1.0000000000011828,0.0,2.4148365394514667e-06,True,True,True,5.784345342039531,1.316899242730824,12.385103999999924,0.6102299418374424,2.0058015531795017,2.3395284513546977,8.751382158740864,6.250432402390414,186.41137880461193,False,False,0,0,0
8-11/Seal_Bag/161504,8-11/Seal_Bag,161504,upright_table,2439,2439,0.6014760147601476,0.1857318573185732,41.574415744157434,5.000000000000099,1.0000000000011828,5.000000000000099,1.0000000000011828,0.0,2.4148365394514667e-06,True,True,True,711.3503555327486,94.57524045460448,12.385103999999924,0.6102299418374424,2.0058015531795017,2.3395284513546977,8.751382158740864,25.79326411089462,1034.472504645048,False,False,0,0,0
8-11/Seal_Bag/161504,8-11/Seal_Bag,161504,horizontal_wall,2439,2439,0.012710127101271012,0.002870028700287003,0.9840098400984009,5.000000000000099,1.0000000000011828,5.000000000000099,1.0000000000011828,0.0,2.4148365394514667e-06,True,True,True,789.6506440662992,78.77818131410154,12.385103999999924,0.6102299418374424,2.0058015531795017,2.3395284513546977,8.751382158740864,7.22405255513312,292.6051034402135,False,False,0,0,0
8-11/Seal_Bag/161504,8-11/Seal_Bag,161504,inverted,2439,2439,0.11767117671176712,0.05248052480524805,6.519065190651907,5.000000000000099,1.0000000000011828,5.000000000000099,1.0000000000011828,0.0,2.4148365394514667e-06,True,True,True,607.8445847672708,82.43858313029159,12.385103999999924,0.6102299418374424,2.0058015531795017,2.3395284513546977,8.751382158740864,14.111006700580656,574.3034698048208,False,False,0,0,0
8-11/Seal_Bag/161532,8-11/Seal_Bag,161532,baseline,1332,1332,0.9481981981981982,0.2424924924924925,70.57057057057057,5.00000000000006,1.0000000000011828,5.00000000000006,1.0000000000011828,0.0,2.4148365394514667e-06,True,True,True,132.23882661931466,14.21243217060871,12.395083000000362,0.7477663701768944,1.8498483428069228,2.4441493996840284,7.358872119333488,16.16860301016736,643.1130572972023,False,False,0,0,0
